Name,Titre,Contenu,Excerpt,Catégorie,Date,SEO:Slug
1,Libeo change sa gouvernance pour la facture électronique,"Un bilan solide
En l'espace de quatre années, Libeo est passée d'une start-up en devenir à une entreprise leader dans le secteur de la numérisation des factures, un marché en rapide expansion évalué à 20 milliards d'euros. Partie de rien, l'équipe a su conquérir pas moins de 300 000 entreprises grâce à des services innovants, tels que les paiements en un clic et sans IBAN, devenus la norme aujourd'hui. L'aventure Libeo a été rendue possible grâce à une levée de fonds conséquente de plus de 26 millions d'euros, permettant une expansion ambitieuse et solide malgré un contexte fluctuant en 2022.

Changements à la tête de Libeo
Pour entamer ce nouveau chapitre, l'équipe fondatrice a pris la décision stratégique d'ajuster la gouvernance de l'entreprise. Pierre-Antoine, précédemment CTO/CPO, est promu au poste de CEO, une position où son expertise en matière de factures et paiements électroniques sera grandement valorisée.
""C'est maintenant le début d'un nouveau chapitre pour Libeo avec de nouveaux défis à venir et le plus important est de construire une proposition de valeur produit plus forte pour continuer à croître dans le contexte de la révolution de la facture électronique.""

Une vision continuée
Pierre Dutaret, tout en cédant sa place, continuera d’œuvrer au sein de Libeo en tant que membre du conseil d'administration, apportant sa connaissance profonde du marché et contribuant à la vision stratégique de l'entreprise. Il exprime une gratitude profonde envers les clients et partenaires, réitérant l'engagement indéfectible de l'équipe envers leur succès.
""Chers clients et partenaires, je tiens à vous remercier chaleureusement pour votre confiance. L'équipe reste engagée envers votre succès, aujourd'hui plus que jamais.""","Pierre-Antoine, ex-CTO/CPO de Libeo, prend les rênes pour mener l'expansion et préparer Libéo à la facture électronique..",Annonce,27/3/2023,libeo_change_sa_gouvernance_pour_la_facture_électronique
2,Silae rachète Bleexo pour enrichir son SIRH,"Développements significatifs
Acquisition de Bleexo par Silae :
- Contexte : Annonce faite juste avant le Salon Solutions RH (Paris Expo, 21-23 mars).
- Stratégie : 7ème acquisition depuis le rachat de Silae par Silver Lake en 2020.
- Vision de Thomas Bourgeois, CEO de Silae : Insiste sur la nécessité des outils tels que Bleexo pour améliorer la Qualité de Vie au Travail (QVT).

Integration dans SIRH Silae RH Pro :
- Cible : Entreprises de plus de 50 salariés.
- Clientèle existante de Bleexo : 195 entreprises, incluant des noms notables comme Crédit Agricole et MAIF, totalisant 130 000 utilisateurs.
- Offre : Une suite de 5 outils centrée sur l'amélioration de l'expérience collaborateur et la collecte de feedbacks, disponible en 20 langues dans 40 pays.
- Déploiement rapide : Mise en place d'un programme de primo-adoptants parmi les partenaires de Silae.
Réactions et perspectives
Départ de Stéphane Waller :
« J’ai le plaisir de vous annoncer, chers abonnés, que nous venons, Sylvain [ndlr : Lapendry, CTO et cofondateur] et moi, de vendre Bleexo à Silae : 2 entreprises chacune leader de sa catégorie, qui se rencontrent ! Un beau mariage ! [...] Et maintenant, Je passe le relais à Thomas Bourgeois et sa team et souhaite bon vent à Bleexo et Silae. »

Tournant stratégique pour Silae :
- Avant : Une approche principalement RH et administrative.
- Maintenant : Une orientation plus centrée sur l'expérience salarié, avec des initiatives visant, par exemple, le benchmark des salaires.
- Équipe Bleexo : Continuera à opérer depuis Toulouse avec 28 collaborateurs.

Ce développement majeur dans le secteur des SIRH souligne l'engagement croissant des entreprises à investir dans les outils favorisant l'amélioration de l'expérience collaborateur, dans un contexte marqué par des transformations massives du marché du travail.","Silae a annoncé l'acquisition de Bleexo, une start-up qui se focalise sur l'optimisation de l'expérience collaborateur.",Acquisition,23/3/2023,silae_rachète_bleexo_pour_enrichir_son_sirh
3,Pennylane vise 80% du marché dans 5 ans,"Récit d'une success story
- Rencontre et confiance : Six amis se réunissent après une première aventure réussie avec PriceMatch, revendue à Booking.com.
- Vision commune : Ils partent à la conquête d'un marché grandissant, celui des outils financiers pour entreprises, en créant Pennylane.
- Stratégie : Chercher un marché déjà établi et prêt à payer pour un service de qualité, en évitant les erreurs du passé.

""On s’est dit que c’était maintenant ou jamais, sinon la vie allait nous séparer et chacun serait parti dans un projet ou un autre,"" confie Arthur Waller, le CEO de Pennylane.

Trajectoire et ambitions
- Début : Fondation en septembre 2019, avec une ébauche du logiciel.
- Mai 2020 : Première levée de fonds (4 millions d'euros) et acquisition des premiers clients malgré un produit encore en développement.
- 2021-2022 : Multiples levées de fonds dont une série B de 50 millions en janvier 2022, propulsée par le fonds Sequoia.

""Ils investissent dans des boîtes qui, d’après eux, peuvent créer des catégories. Leur critère numéro un, c’est que ta boîte puisse devenir énorme,"" explique Arthur.

Le défi Sequoia
- Philosophie : Créer un ""Financial OS"" pour les TPE/PME en Europe, un marché encore vierge contrairement aux États-Unis dominés par Intuit et son QuickBooks.
- Opportunité : Le retrait d'Intuit du marché européen fin 2022 offre une opportunité sans précédent à Pennylane pour dominer le marché.
""Nous sommes sur un marché que l’on appelle “winner takes all”. Plus tu as de cabinets, plus tu as de clients, et plus tu as de clients et plus tu remportes de nouveaux cabinets,"" précise le CEO de Pennylane.

Un futur audacieux
- Objectif : Atteindre 80 % du marché dans un horizon de cinq ans, un but assumé sans sourciller par Arthur Waller.
- Vision : Ne pas se vendre mais devenir un géant du secteur, dépassant les concurrents actuels tels que Sage et Cegid.

""On ne fait absolument pas Pennylane pour le revendre. On veut vraiment l’emmener très loin,"" assure Arthur Waller, marquant la ferme intention de l'équipe de diriger un leader du marché durable et indépendant.","Un an après avoir une levée de fonds de 50m€ avec Sequoia, Pennylane souhaite atteindre 80 % du marché dans un horizon de cinq ans.",Tendance,6/3/2023,pennylane_vise_80%_du_marché_dans_5_ans
4,"Axonaut, logiciel de gestion, lève 10m€","Axonaut : Qui sont-ils ?
- Nicolas Ricard, co-fondateur : Ancien développeur au Centre National d'Études Spatiales (CNES) et chef de projet grands comptes. A commencé l'aventure entrepreneuriale en 2014 avec son associé, Nicolas Michel.
- Historique : Unooc, le comparateur de médicaments était leur première entreprise.
- Constat : les chefs de petites entreprises perdent du temps sur des tâches non essentielles.
- Problème avec les outils existants : Logiciels de comptabilité obsolètes et complexes.
- Logiciels ERP : Trop complexes avec trop d'étapes pour des tâches simples.
- Outils anglo-saxons : Spécialisés mais manquant de certaines fonctionnalités.
Fonctionnalités d'Axonaut :
- Objectif : Fournir un outil simple pour les tâches concrètes du quotidien.Prospection : Synchronisation avec agendas et emails.
- Devis : Création facile avec signature électronique.
- Facturation : Conversion de devis, paiements en ligne, et facturation récurrente.
- Autres : Envoi de courriers recommandés, capture d'images de reçus, lecture automatique des factures fournisseurs, et suivi bancaire.
- Exportation : Pour les comptables via un portail dédié.

Levée de fonds : Détails et motivations
- Montant : 10 millions d'euros
- Objectif : Étendre Axonaut à toute la France et améliorer le logiciel pour aider davantage les gérants de TPE.
- Investisseurs : 
    - The Moon Venture : Déjà investisseur lors du premier tour.
    - Matmut Innovation : Introduits par The Moon Venture.
    - Bpifrance : Soutient Axonaut depuis le début.

""Dans 5 ans, Axonaut sera utilisé par des centaines de milliers d’entrepreneurs pour leur faire gagner un maximum de temps!"" - Vision d'Axonaut pour le futur.
","Axonaut, startup axée sur l'optimisation des tâches quotidiennes des entreprises, a levé 10 millions d'euros pour étendre ses activités et son produit.",Levée de fond,16/12/2022,axonaut__logiciel_de_gestion__lève_10m€
5,"Evoliz, logiciel de facturation, lève 3m€","Parcours du co-fondateur
- Début de carrière : François Aupetit a débuté son parcours avec une formation en informatique et gestion à Toulon, où il a rencontré son futur associé, Olivier Gasquet. Ils ont plus tard travaillé ensemble chez b-pack.
- Naissance d'Evoliz : L’idée d’Evoliz a germé en 2008, une période marquée par l’introduction du statut d’autoentrepreneur en France et l'absence d'outils en ligne pour gérer une société. En 2009, avec le lancement du portail myAE.fr, le succès fut immédiat, conduisant à la création de Triiptic et plus tard, à celle d’Evoliz.
- Distribution : Le logiciel est distribué directement via leur site internet ainsi qu’à travers un réseau d'experts-comptables, sous la supervision de leur associé Julien Chevry.
Fonctionnalités d'Evoliz
- Un ERP adapté : Evoliz fonctionne comme un ERP simplifié qui ne nécessite pas de connaissances comptables préalables. Il permet une gestion complète des ventes et des achats d'une entreprise, avec une intégration directe avec les banques.
- Certifications : Le logiciel détient les certifications NF525 et NF203, assurant sa conformité avec la loi anti-fraude à la TVA de 2018, un avantage distinctif sur le marché.
- Préparation à la réforme : Avec l'arrivée de la réforme de la facturation électronique, Evoliz se positionne comme un outil déjà prêt à accueillir les changements à venir.
Perspectives futures
- Raisons de la levée de fonds : Malgré une croissance rentable, la levée de fonds vise à accentuer l'avance d'Evoliz sur le marché et à étendre sa notoriété.
- Partenariat avec Odyssée Ventures : L'entrée d'Odyssée Ventures dans le capital a été motivée par une confiance mutuelle et une exigence partagée quant à la vision du projet.
- Vision à 5 ans : Dans un futur proche, Evoliz envisage de devenir leader sur le marché français des solutions de facturation électronique et prévoit une expansion à l'international en alignement avec les objectifs européens pour 2028.","La start-up française Evoliz, spécialisée dans les logiciels de facturation en ligne pour les TPE/PME, a levé 3 millions d'euros.",Levée de fond,3/2/2023,evoliz__logiciel_de_facturation__lève_3m€
6,Chaintrust et Inqom s'associent pour une offre commune,"Chaintrust et Inqom : Un partenariat stratégique

- Genèse du partenariat : La collaboration entre Chaintrust et Inqom a vu le jour lors du 77e Congrès de l'Ordre des experts-comptables en septembre 2022.
- Offre conjointe : Les deux entreprises proposent une offre intégrée, combinant l'intelligence artificielle d'Inqom avec l'automatisation de saisie comptable de Chaintrust, permettant aux experts-comptables de se libérer des tâches répétitives et chronophages.
- Avantages : 
    - Gain de temps dans les missions quotidiennes
    - Réduction des erreurs grâce à des outils performants
    - Réduction des coûts

La collaboration en profondeur
« Nous nous sommes vite aperçus que nous partagions des synergies communes. » - Mikael Gandon, CEO de Chaintrust

- Conception technique : Les équipes techniques ont collaboré pour créer une API permettant d'interconnecter Inqom et Chaintrust et d'automatiser un maximum de tâches comptables.
- Transmission fluide : Grâce à l'API, les écritures comptables générées sur Chaintrust sont directement transmises sur Inqom, facilitant ainsi le travail des experts-comptables.

Paroles de dirigeants
« Nous sommes ravis de collaborer avec Chaintrust pour offrir une solution toujours plus performante. » - Romain Passilly, CEO d'Inqom

- Engagement : Les CEOs des deux entreprises expriment leur enthousiasme et leur engagement à soutenir les experts-comptables dans leur métier, soulignant une vision partagée de l'avenir de la profession.
- Focus sur le conseil : L'objectif principal est de permettre aux professionnels de se concentrer davantage sur le conseil et l'accompagnement de leurs clients.
","Chaintrust et Inqom, deux entreprises spécialisées dans les logiciels pour experts-comptables, lancent une offre commune.",Partenariat,19/4/2023,chaintrust_et_inqom_s_associent_pour_une_offre_commune
7,"Le Village Connecté (ACD, RCA, Coaxis) développe sa PDP","Projet de Plateforme de Dématérialisation Partenaire
- Création d'une PDP sous la marque Le Village Connecté: Englobant des entreprises comme ACD Groupe, RCA, et Coaxis, le Village Connecté est en phase de créer une plateforme centralisée et industrielle destinée à faciliter le processus de facturation électronique, en lien direct avec la réforme à venir. Ils cherchent à garantir une interopérabilité accrue et l'indépendance numérique des cabinets d'experts-comptables.
- Bénéfices pour les cabinets d'experts-comptables:
    - Réduction significative des tâches manuelles: Grâce à la PDP, les cabinets pourront voir leurs tâches manuelles de saisie des données de facturation considérablement réduites.
    - Une solution globale et intégrée: La PDP du Village Connecté cherche à offrir une réponse globale aux besoins des cabinets, en s'appuyant sur la force de solutions déjà existantes d'ACD et RCA.
""Au sein du Village Connecté, nous avons les deux premières briques avec ACD et RCA pour apporter une solution globale à nos clients. Il ne nous manque plus que la brique PDP pour être à 100% au service de la profession comptable dans le cadre de la facture électronique,"" note Eric Choteau-Laurent, président d'ACD.

Implications de la réforme de la facture électronique
- Changements majeurs à partir de 2024:
    - Obligation d'utiliser des plateformes dématérialisées: Les échanges de factures entre entreprises ne pourront plus se faire en direct, toutes les factures devront transiter par une plateforme dédiée comme un portail public de facturation ou une plateforme de dématérialisation partenaire.
    - Échéancier de mise en place: La réforme prévoit des échéances spécifiques pour les différentes tailles d'entreprises, s'étalant de juillet 2024 à janvier 2026.
- Préoccupations et opportunités pour les experts-comptables:
    - Mise en avant de l'expert-comptable: Le Village Connecté souhaite que sa PDP soit un outil renforçant la position des experts-comptables, en évitant qu'ils soient écartés des flux de factures.
    - Optimisation de l'expérience utilisateur: Le service proposé par Le Village Connecté vise à faciliter au maximum l'offre de services des experts-comptables avec une expérience utilisateur optimale.
Mais pour Jérôme Clarysse, président de RCA, ""le risque majeur de la facture électronique, c’est que l’expert-comptable soit écarté des flux de factures. D’autres acteurs en devenant PDP voudront maîtriser ces flux pour en exploiter la richesse, et empiéteront ainsi sur la relation client/expert-comptable.""

Vers une solution intégrée et sécurisée
- Sécurité et maîtrise des données: Le trio ACD, RCA et Coaxis aspirent à garantir l'archivage et le stockage sécurisés des données de facturation, permettant aux cabinets d'experts-comptables de déployer des services à haute valeur ajoutée tels que l'analyse prédictive.
- Synergie et vision à long terme: Le désir de devenir une PDP est né de mois de synergies et s'inscrit dans une stratégie à long terme du Village Connecté. Ils ont constitué une équipe dédiée pour ce projet, mettant l'accent sur l'efficacité et la simplicité.
","Le Village Connecté - un groupement impliquant ACD Groupe, RCA et Coaxis - révèle son projet ambitieux de PDP.",Annonce,24/1/2023,le_village_connecté__acd__rca__coaxis__développe_sa_pdp
8,Dext s'explique sur la facture électronique,"La vision de Dext sur la facturation électronique
- Florent Dujardin, le Directeur général France de Dext, souligne l'importance cruciale de la généralisation de la facture électronique pour Dext, qui sert plus de 200 000 entreprises en France, générant plus de 10 millions d'euros de chiffre d'affaires principalement grâce à ses solutions de réception et traitement de factures.
- Le calendrier réglementaire présente deux dates cruciales : le 1er juillet 2024 et le 1er janvier 2026, avec des impacts divergents pour les éditeurs de logiciels, les entreprises et les cabinets d'expertise comptable.

1er juillet 2024 : Un impact modéré mais significatif
- Dujardin ne croit pas en un « big bang » en 2024, suggérant plutôt que les entreprises pourraient devenir un peu plus efficaces, même sans préparation adéquate.
- Néanmoins, il insiste sur la nécessité pour les entreprises et les cabinets d'expertise comptable de se préparer non pas par crainte du changement, mais pour de bonnes raisons, dont l'arrivée de nouveaux concurrents et les attentes croissantes des clients.

1er janvier 2026 : Un changement majeur en perspective
- Dujardin anticipe un changement plus important en 2026, où presque toutes les entreprises devront être capables d'émettre des factures électroniques via un logiciel conforme.
- Il note également que certaines factures n'entreront pas dans le circuit de la facturation électronique, soulignant le rôle continu des solutions de reconnaissance.

Dext et les défis à venir pour les éditeurs de logiciels
- Selon Dujardin, 2024 représentera un défi majeur pour les éditeurs de logiciels, qui devront faciliter la transition vers la facturation électronique pour les entreprises et les cabinets d'expertise comptable.
- Dext prévoit de s'associer à une future plateforme de dématérialisation des données (PDP) pour offrir plus de valeur à ses clients, tout en préservant l'ouverture et l'interopérabilité.
""Il n'y aura pas de big bang de la facturation électronique en 2024,"" affirme Florent Dujardin.

Les futurs produits de Dext pour l'émission de factures
- Dext annonce le lancement prochain d'un logiciel de facturation qui cherchera à répondre aux besoins des entreprises en termes de simplicité et de conformité.
- Deux types de logiciels de facturation seront proposés : un pour les entrepreneurs à la recherche de simplicité et de conformité, et une version plus avancée prévue pour plus tard en 2023, offrant des fonctionnalités supplémentaires pour augmenter l'efficacité des entreprises.
- En gérant à la fois l'émission et la réception des factures, Dext vise à devenir une plateforme globale de gestion de la facture.
",Dext présente sa nouvelle solution de facturation et précise sa vision sur la généralisation de la facturation électronique en France.,Facture électronique,7/3/2023,dext_s_explique_sur_la_facture_électronique
10,"Pennylane lève 29,5m€ ce qui la valorise 487m€","Un financement récurrent pour soutenir une croissance continue
- Pennylane, la start-up normande fournissant une solution SaaS pour les TPE-PME et les experts comptables, poursuit son expansion grâce à une nouvelle levée de fonds de 29,5 millions d'euros.
- Le financement, correspondant à sa série C, a été orchestré par le fonds DST Global, créé par le milliardaire Yuri Milner, avec une contribution significative du fonds américain Sequoia, déjà investisseur dans les précédentes levées de Pennylane en 2021 et 2022.
- D'après Les Echos, cette opération porte la valorisation de l'entreprise à 487 millions d'euros, en hausse de 13% par rapport à son dernier financement.

Développement et nouvelles fonctionnalités
- La fintech, forte de 50 000 clients, grâce notamment à des partenariats avec des cabinets d'experts-comptables, a enrichi son offre en septembre dernier avec une fonctionnalité de compte pro.
- Cette nouveauté offre à ses utilisateurs la possibilité de centraliser la gestion de leurs dépenses et leur comptabilité sur une unique plateforme.

Vers une transformation du marché de la facturation électronique
- Pennylane vise également le marché en pleine croissance de la facturation électronique, dont la généralisation est attendue pour juillet 2024 dans le cadre de la réforme de la loi Pacte.
- La start-up a exprimé son intention de déposer un dossier cet été pour obtenir l’agrément de la DGFiP concernant l'immatriculation des plateformes de dématérialisation partenaires (PDP), nécessaire pour permettre aux entreprises de satisfaire à leurs obligations légales futures.
- Il est à noter que ce service d'immatriculation, ouvert depuis le 1er mai, n'a encore validé aucune plateforme.","Pennylane a récemment levé 29,5 millions d'euros dans un tour de table mené par le fonds DST Global, ce qui la à 487 millions d'euro.",Levée de fond,3/5/2023,pennylane_lève_29_5m€_ce_qui_la_valorise_487m€
12,Tiime annonce que sa PDP sera gratuite,"Nouvelle réglementation et réponse de Tiime
À partir de juillet 2024, toutes les entreprises françaises assujetties à la TVA devront être en mesure de recevoir des factures électroniques, conformément à la réglementation imposée par le gouvernement français. Face à cette évolution importante, Tiime a exprimé son désir de devenir une Plateforme de Dématérialisation Partenaire (PDP) agréée.
Dans un effort continu pour simplifier l'entrepreneuriat, l'éditeur a déclaré vouloir offrir l'accès à cette plateforme de manière gratuite. Cette démarche s'inscrit dans la continuité de leur application de facturation Tiime Invoice, déjà accessible sans frais, qui intégrera de nouvelles fonctionnalités relatives à la facturation électronique.
Des outils pour faciliter le quotidien des entrepreneurs et des experts-comptables
La nouvelle plateforme promet de révolutionner les procédés administratifs en cours, offrant une simplification administrative significative. Les fonctionnalités envisagées permettront aux entrepreneurs de gérer plus facilement le cycle de vie d'une facture et faciliteront l'accès instantané aux données pour les experts-comptables.
""C'est un formidable bond en avant technologique pour les processus de facturation. Nous saluons l'initiative de l'État français, car cela devrait permettre aux entreprises une simplification administrative phénoménale"", a souligné Martin Jacqmin, Directeur Produit chez Tiime.
Sécurité et conformité
Pour garantir la sécurité et la confidentialité des données, Tiime affirme que le projet respectera les normes strictes, y compris la norme de sécurité ISO 27001. De plus, la souveraineté des données sera préservée grâce à un hébergement certifié SecNumCloud.
La mise en conformité avec le cahier des charges technique établi par l'État est également une priorité pour l'entreprise, assurant ainsi une plateforme fiable et sécurisée pour tous les utilisateurs.
À propos de Tiime
Depuis 2015, Tiime se démarque comme un éditeur de logiciels 100% français et autofinancé, collaborant avec plus de 100 000 entrepreneurs et plus de 1000 experts-comptables partenaires. Sa solution de facturation est hautement appréciée, avec une note remarquable de 4,8/5 sur le marché.","Tiime annonce son intention de proposer gratuitement sa future PDP aux entreprises et experts-comptables, dans la continuité de Tiime Invoice.",Facture électronique,11/5/2023,tiime_annonce_que_sa_pdp_sera_gratuite
